label	s	strunz
Avicennite	gcmin:avicennite	04.CB.10
Avogadrite	gcmin:avogadrite	03.CA.10
Awaruite	gcmin:awaruite	01.AE.20
Axinite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29239>	
Axinite-(Fe)	gcmin:axinite-fe	01.AE.20
Axinite-(Mg)	gcmin:axinite-mg	09.BD.20
Axinite-(Mn)	gcmin:axinite-mn	09.BD.20
Azoproite	gcmin:azoproite	06.AB.30
Azurite	gcmin:azurite	05.BA.05
Babefphite	gcmin:babefphite	08.BA.15
Babingtonite	gcmin:babingtonite	09.DK.05
Babkinite	gcmin:babkinite	02.GC.40e
Babánekite	gcmin:babanekite	08.CE
Backite	gcmin:backite	07.BC
Baddeleyite	gcmin:baddeleyite	04.DE.35
Baddeleyite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/52658>	
Bafertisite	gcmin:bafertisite	09.BE.55
Bafertisite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/50369>	
Baghdadite	gcmin:baghdadite	09.BE.17
Bahianite	gcmin:bahianite	04.DC.05
Baileychlore	gcmin:baileychlore	09.EC.55
Bairdite	gcmin:bairdite	07.DF
Bakhchisaraitsevite	gcmin:bakhchisaraitsevite	08.CH.50
Baksanite	gcmin:baksanite	02.DC.05
Balangeroite	gcmin:balangeroite	09.DH.35
Balipholite	gcmin:balipholite	0
Balkanite	gcmin:balkanite	02.BD.15
Balliranoite	gcmin:balliranoite	09.FB.05
Balyakinite	gcmin:balyakinite	04.JK.15
Bambollaite	gcmin:bambollaite	02.EB.05b
Bamfordite	gcmin:bamfordite	04.FK.05
Banalsite	gcmin:banalsite	09.FA.60
Bandylite	gcmin:bandylite	06.AC.35
Bannermanite	gcmin:bannermanite	04.HF.05
Bannisterite	gcmin:bannisterite	09.EG.75
Baotite	gcmin:baotite	09.CE.15
Barahonaite-(Al)	gcmin:barahonaite-al	08.CH.60
Barahonaite-(Fe)	gcmin:barahonaite-fe	08.CH.60
Bararite	gcmin:bararite	03.CH.10
Baratovite	gcmin:baratovite	09.CJ.25
Barberiite	gcmin:barberiite	03.CA.10
Barbosalite	gcmin:barbosalite	08.BB.40
Barentsite	gcmin:barentsite	05.BB.05
Bariandite	gcmin:bariandite	04.HE.20
Baricite	gcmin:baricite	08.CE.40
Barikaite	gcmin:barikaite	02.HB
Bario-olgite	gcmin:bario-olgite	08.AC.40
Bario-orthojoaquinite	gcmin:bario-orthojoaquinite	09.CE.25
Barioferrite	gcmin:barioferrite	04.CC.45
Barioperovskite	gcmin:barioperovskite	04.CC.30
Bariopharmacoalumite	gcmin:bariopharmacoalumite	08.DK.12
Bariopharmacosiderite	gcmin:bariopharmacosiderite	08.DK.10
Bariopharmacosiderite-Q	gcmin:bariopharmacosiderite-q	
Bariosincosite	gcmin:bariosincosite	08.CJ.65
Barlowite	gcmin:barlowite	03.DA.15
Barnesite	gcmin:barnesite	04.HG.45
Barquillite	gcmin:barquillite	02.KA.10
Barrerite	gcmin:barrerite	09.GE.15
Barringerite	gcmin:barringerite	01.BD.10
Barringerite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/43841>	
Barroisite	gcmin:barroisite	09.DE.20
Barroisite Root Name Group	<https://w3id.org/geochem/1.0/min/grouplexicon/43476>	
Barrotite	gcmin:barrotite	07.DE.45
Barstowite	gcmin:barstowite	03.DC.95
Bartelkeite	gcmin:bartelkeite	09.J0.10
Bartonite	gcmin:bartonite	02.FC.10
Barwoodite	gcmin:barwoodite	09.AF
Barylite	gcmin:barylite	09.BB.15
